symbol	anterior	approximant	back	consonantal	constricted glottis	continuant	coronal	delayed_release	diphthong	distributed	dorsal	front	front-diphthong	high	labial	labiodental	lateral	long	low	nasal	round	segment	sonorant	spread glottis	stress	strident	syllabic	tap	tense	trill	voice
ɪ̃	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	1	-1	-1	-1	1
ɻ̥	-1	1	0	1	-1	1	1	0	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	1	-1	-1	-1	-1	-1	0	-1	-1
c	-1	-1	-1	1	-1	-1	1	-1	0	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
ø̃ː	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	1	-1	-1	1	-1	1	1	1	1	-1	-1	0	1	-1	1	-1	1
ɘ̃ː	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	1	-1	1	-1	1	1	-1	-1	0	1	-1	1	-1	1
ʀ̥	0	1	1	1	-1	1	-1	0	0	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	-1	-1	0	1	-1
eː	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	0	1	-1	1	-1	1
ʝ	-1	-1	-1	1	-1	1	1	1	0	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	1
cç	-1	-1	-1	1	-1	-1	1	1	0	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
n	1	-1	0	1	-1	-1	1	0	0	-1	-1	0	0	0	-1	-1	-1	-1	0	1	-1	1	1	-1	-1	-1	-1	-1	0	-1	1
ɳ̥	-1	-1	0	1	-1	-1	1	0	0	-1	-1	0	0	0	-1	-1	-1	-1	0	1	-1	1	1	-1	-1	-1	-1	-1	0	-1	-1
ɶ̥	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	1	-1	-1	-1	1	-1	1	1	1	-1	-1	0	1	-1	0	-1	-1
ts	1	-1	0	1	-1	-1	1	1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	-1
bβ	0	-1	0	1	-1	-1	-1	1	0	0	-1	0	0	0	1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
ə̥	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	1	-1	-1	-1	-1
ɲ̥	-1	-1	-1	1	-1	-1	1	0	0	1	1	1	0	1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	0	-1	-1
ɹ̥	-1	1	0	-1	-1	1	1	0	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	1	-1	-1	-1	-1	-1	0	-1	-1
h	0	-1	0	-1	-1	1	-1	1	0	0	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	1	-1	0	-1	-1	0	-1	-1
ɘ	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	1	-1	1	-1	1
ɒ̥	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	-1	1	-1	1	1	1	-1	-1	0	1	-1	0	-1	-1
œ̥	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	1	-1	-1	-1	-1
ɔ̥	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	1	-1	-1	-1	-1
ʌ̥	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	1	-1	-1	-1	-1
k̟	0	-1	-1	1	-1	-1	-1	-1	0	0	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ɛː	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	0	1	-1	-1	-1	1
ɒ̃ː	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	1	1	1	1	1	1	-1	-1	0	1	-1	0	-1	1
x̟	0	-1	-1	1	-1	1	-1	1	0	0	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ʔ	0	-1	0	1	1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ɰ̥	0	1	0	-1	-1	1	-1	0	0	0	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	-1	-1	1	-1	-1
ɞ̃ː	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	1	-1	1	1	1	1	-1	-1	0	1	-1	-1	-1	1
ʍ	0	-1	1	-1	-1	1	-1	1	0	0	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	-1	1	-1	0	-1	-1	1	-1	-1
iː	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	0	1	-1	1	-1	1
ɣ̠̥	0	-1	1	1	-1	1	-1	1	0	0	1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ʌː	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	0	1	-1	-1	-1	1
b͡d	1	-1	0	1	-1	-1	1	-1	0	-1	-1	0	0	0	1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	1
ɵ	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	1	-1	1	-1	1
ø	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	1	-1	1	-1	1
ɡ̟ɣ̟	0	-1	-1	1	-1	-1	-1	1	0	0	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
s	1	-1	0	1	-1	1	1	1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	-1
r̥	1	1	0	1	-1	1	1	0	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	1	-1	-1	-1	-1	-1	0	1	-1
ʌ̃ː	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	1	-1	1	-1	1	1	-1	-1	0	1	-1	-1	-1	1
ʊ̥	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	1	-1	-1	-1	-1
d̪͡ɮ̪	1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	1
ɮ̥	1	-1	0	1	-1	1	1	1	0	-1	-1	0	0	0	-1	-1	1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
ɤː	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	0	1	-1	1	-1	1
m̥	0	-1	0	1	-1	-1	-1	0	0	0	-1	0	0	0	1	-1	-1	-1	0	1	-1	1	1	-1	-1	0	-1	-1	0	-1	-1
j	0	1	-1	-1	-1	1	-1	0	0	0	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	-1	-1	1	-1	1
ɸ	0	-1	0	1	-1	1	-1	1	0	0	-1	0	0	0	1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ɡ͡ɣ	0	-1	0	1	-1	-1	-1	1	0	0	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
ɖ͡ʐ	-1	-1	0	1	-1	-1	1	1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	1
β	0	-1	0	1	-1	1	-1	1	0	0	-1	0	0	0	1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
ʉ̥	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	1	-1	1	-1	-1
œː	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	0	1	-1	-1	-1	1
ɟ͡ʝ	-1	-1	-1	1	-1	-1	1	1	0	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	1
ḁ	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	1	-1	0	-1	-1
d͡ɮ	1	-1	0	1	-1	-1	1	1	0	-1	-1	0	0	0	-1	-1	1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	1
ɫ	1	1	1	1	-1	1	1	0	0	-1	1	-1	0	-1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	0	-1	1
ʃ	-1	-1	0	1	-1	1	1	1	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	-1
ʉː	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	0	1	-1	1	-1	1
d̪ð	1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	1
k̠͡x̠	0	-1	1	1	-1	-1	-1	1	0	0	1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
tɬ	1	-1	0	1	-1	-1	1	1	0	-1	-1	0	0	0	-1	-1	1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
ɖ̥	-1	-1	0	1	-1	-1	1	-1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
y̥	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	1	-1	1	-1	-1
ɔɪ	0	1	1	-1	-1	1	-1	0	1	0	1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	1	0	1	-1	-1	-1	1
ŋ̠	0	-1	1	1	-1	-1	-1	0	0	0	1	-1	0	1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	-1	-1	0	-1	1
pɸ	0	-1	0	1	-1	-1	-1	1	0	0	-1	0	0	0	1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ø̥	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	1	-1	1	-1	-1
ɳ	-1	-1	0	1	-1	-1	1	0	0	-1	-1	0	0	0	-1	-1	-1	-1	0	1	-1	1	1	-1	-1	-1	-1	-1	0	-1	1
ʋ	0	1	0	-1	-1	1	-1	0	0	0	-1	0	0	0	1	1	-1	-1	0	-1	-1	1	1	-1	-1	0	-1	-1	0	-1	1
ŋ̠̥	0	-1	1	1	-1	-1	-1	0	0	0	1	-1	0	1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	-1	-1	0	-1	-1
ɱ	0	-1	0	1	-1	-1	-1	0	0	0	-1	0	0	0	1	1	-1	-1	0	1	-1	1	1	-1	-1	0	-1	-1	0	-1	1
l̥	1	1	0	1	-1	1	1	0	0	-1	-1	0	0	0	-1	-1	1	-1	0	-1	-1	1	1	-1	-1	-1	-1	-1	0	-1	-1
d̪͡z̪	1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	1
ə̃	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	1	-1	-1	-1	1
ʐ̥	-1	-1	0	1	-1	1	1	1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	-1
ʧ	-1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	-1
ʏ	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	1	-1	-1	-1	1
ʟ̥	0	1	0	1	-1	1	-1	0	0	0	1	0	0	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	0	-1	-1	0	-1	-1
aɪ	0	1	-1	-1	-1	1	-1	0	1	0	1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	1	1	-1	1	0	1	-1	0	-1	1
ɡb	0	-1	0	1	-1	-1	-1	-1	0	0	1	0	0	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
t̪͡s̪	1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	-1
k̠x̠	0	-1	1	1	-1	-1	-1	1	0	0	1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ɯ̃	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	1	-1	1	-1	1
ɕ	1	-1	-1	1	-1	1	1	1	0	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	-1
ɑ̥	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	1	-1	0	-1	-1
t̪θ	1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
d̪͡ð	1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	1
dz	1	-1	0	1	-1	-1	1	1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	1
oʊ	0	1	1	-1	-1	1	-1	0	1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	1	0	1	-1	1	-1	1
ɔ̃ː	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	1	-1	1	1	1	1	-1	-1	0	1	-1	-1	-1	1
ɯ	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	1	-1	1	-1	1
ʀ	0	1	1	1	-1	1	-1	0	0	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	-1	-1	0	1	1
dɮ	1	-1	0	1	-1	-1	1	1	0	-1	-1	0	0	0	-1	-1	1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	1
l̩	1	1	0	1	-1	1	1	0	0	-1	-1	0	0	0	-1	-1	1	-1	0	-1	-1	1	1	-1	-1	-1	1	-1	0	-1	1
k	0	-1	0	1	-1	-1	-1	-1	0	0	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
i̥	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	1	-1	1	-1	-1
ɡ	0	-1	0	1	-1	-1	-1	-1	0	0	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
ɢ͡ʁ	0	-1	1	1	-1	-1	-1	1	0	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
ɡ̟	0	-1	-1	1	-1	-1	-1	-1	0	0	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
ʕ̥	0	-1	1	1	-1	1	-1	-1	0	0	1	-1	0	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ɢ	0	-1	1	1	-1	-1	-1	-1	0	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
ʌ̃	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	1	-1	-1	-1	1
j̥	0	1	-1	-1	-1	1	-1	0	0	0	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	-1	-1	1	-1	-1
kp	0	-1	0	1	-1	-1	-1	-1	0	0	1	0	0	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ʁ̥	0	-1	1	1	-1	1	-1	1	0	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ɨ̃ː	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	1	-1	-1	-1	1	-1	1	-1	1	1	-1	-1	0	1	-1	1	-1	1
ʁ	0	-1	1	1	-1	1	-1	1	0	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
ø̃	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	1	-1	-1	-1	-1	1	1	1	1	-1	-1	0	1	-1	1	-1	1
ɵ̃	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	-1	-1	1	1	1	1	-1	-1	0	1	-1	1	-1	1
ɫ̥	1	1	1	1	-1	1	1	0	0	-1	1	-1	0	-1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	0	-1	-1
ɡ̟͡ɣ̟	0	-1	-1	1	-1	-1	-1	1	0	0	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
ɘː	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	0	1	-1	1	-1	1
d̥	1	-1	0	1	-1	-1	1	-1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
æ̥	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	1	-1	0	-1	-1
ɒ̃	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	-1	1	1	1	1	1	-1	-1	0	1	-1	0	-1	1
ɯ̥	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	1	-1	1	-1	-1
ɡ̥	0	-1	0	1	-1	-1	-1	-1	0	0	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ʒ	-1	-1	0	1	-1	1	1	1	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	1
ɑ̃ː	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	1	1	1	-1	1	1	-1	-1	0	1	-1	0	-1	1
ɛ̃	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	1	-1	-1	-1	1
χ	0	-1	1	1	-1	1	-1	1	0	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
m̩	0	-1	0	1	-1	-1	-1	0	0	0	-1	0	0	0	1	-1	-1	-1	0	1	-1	1	1	-1	-1	0	1	-1	0	-1	1
ɺ̥	1	1	0	1	-1	1	1	0	0	-1	-1	0	0	0	-1	-1	1	-1	0	-1	-1	1	1	-1	-1	-1	-1	1	0	-1	-1
oː	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	0	1	-1	1	-1	1
ð̥	1	-1	0	1	-1	1	1	1	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
w	0	1	1	-1	-1	1	-1	0	0	0	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	-1	-1	1	-1	1
ɖ	-1	-1	0	1	-1	-1	1	-1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	1
ɔː	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	0	1	-1	-1	-1	1
dʑ	1	-1	-1	1	-1	-1	1	1	0	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	1
ɹ	-1	1	0	-1	-1	1	1	0	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	1	-1	-1	-1	-1	-1	0	-1	1
c͡ç	-1	-1	-1	1	-1	-1	1	1	0	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
ẽ	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	1	-1	1	-1	1
ɞ̃	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	-1	-1	1	1	1	1	-1	-1	0	1	-1	-1	-1	1
ɞː	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	0	1	-1	-1	-1	1
ɨ̃	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	1	-1	1	-1	1
t̠ɬ̠	-1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
ʈʂ	-1	-1	0	1	-1	-1	1	1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	-1
ỹː	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	1	1	-1	-1	1	-1	1	1	1	1	-1	-1	0	1	-1	1	-1	1
e̥	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	1	-1	1	-1	-1
ʑ̥	1	-1	-1	1	-1	1	1	1	0	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	-1
æ̃ː	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	-1	-1	-1	1	1	1	-1	1	1	-1	-1	0	1	-1	0	-1	1
ɮ	1	-1	0	1	-1	1	1	1	0	-1	-1	0	0	0	-1	-1	1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	1
pt	1	-1	0	1	-1	-1	1	-1	0	-1	-1	0	0	0	1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	-1
tʃ	-1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	-1
əː	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	0	1	-1	-1	-1	1
n̥	1	-1	0	1	-1	-1	1	0	0	-1	-1	0	0	0	-1	-1	-1	-1	0	1	-1	1	1	-1	-1	-1	-1	-1	0	-1	-1
ð	1	-1	0	1	-1	1	1	1	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	1
ʟ̟̥	0	1	-1	1	-1	1	-1	0	0	0	1	1	0	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	0	-1	-1	0	-1	-1
a	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	1	-1	0	-1	1
ʎ̥	-1	1	-1	1	-1	1	1	0	0	1	1	1	0	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	0	-1	-1
ɽ	-1	1	0	1	-1	1	1	0	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	1	-1	-1	-1	-1	1	0	-1	1
ʐ	-1	-1	0	1	-1	1	1	1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	1
t͡ʃ	-1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	-1
ɤ̃	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	1	-1	1	-1	1
ɛ	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	1	-1	-1	-1	1
ɰ̥̠	0	1	1	-1	-1	1	-1	0	0	0	1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	-1	-1	1	-1	-1
θ	1	-1	0	1	-1	1	1	1	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
z̥	1	-1	0	1	-1	1	1	1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	-1
aː	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	0	1	-1	0	-1	1
ʟ̠	0	1	1	1	-1	1	-1	0	0	0	1	-1	0	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	0	-1	-1	0	-1	1
ɡ̟̥	0	-1	-1	1	-1	-1	-1	-1	0	0	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
x	0	-1	0	1	-1	1	-1	1	0	0	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
x̠	0	-1	1	1	-1	1	-1	1	0	0	1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
