symbol	anterior	approximant	back	consonantal	constricted glottis	continuant	coronal	delayed_release	diphthong	distributed	dorsal	front	front-diphthong	high	labial	labiodental	lateral	long	low	nasal	round	segment	sonorant	spread glottis	stress	strident	syllabic	tap	tense	trill	voice
ŋ̟̥	0	-1	0	1	-1	-1	-1	0	0	0	1	0	0	1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	-1	-1	0	-1	-1
ʉ̃ː	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	1	1	-1	-1	1	-1	1	1	1	1	-1	-1	0	1	-1	1	-1	1
ɒː	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	1	1	-1	1	1	1	-1	-1	0	1	-1	0	-1	1
øː	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	0	1	-1	1	-1	1
k͡x	0	-1	0	1	-1	-1	-1	1	0	0	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ɔ̃	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	-1	-1	1	1	1	1	-1	-1	0	1	-1	-1	-1	1
ɢʁ	0	-1	1	1	-1	-1	-1	1	0	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
ɛ̥	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	1	-1	-1	-1	-1
œ	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	1	-1	-1	-1	1
ɝ	-1	1	-1	-1	-1	1	1	0	-1	1	-1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	-1	1
ɣ̥	0	-1	0	1	-1	1	-1	1	0	0	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
p͡ɸ	0	-1	0	1	-1	-1	-1	1	0	0	-1	0	0	0	1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
õ	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	-1	-1	1	1	1	1	-1	-1	0	1	-1	1	-1	1
ɻ	-1	1	0	1	-1	1	1	0	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	1	-1	-1	-1	-1	-1	0	-1	1
